Year,ID2,Latitude,Longitude,TopDepth,BottomDepth,BulkDensity,Notes
1998.0,43.0,46.77915299992836,-117.08831800000448,0,1,1.4203069232856238,
1998.0,43.0,46.77915299992836,-117.08831800000448,1,2,1.4583838892206273,
1998.0,43.0,46.77915299992836,-117.08831800000448,2,3,1.429023226417874,
1998.0,43.0,46.77915299992836,-117.08831800000448,3,4,1.5314352209292028,
1998.0,43.0,46.77915299992836,-117.08831800000448,4,5,1.6323022488772945,
1998.0,45.0,46.779288328247844,-117.08746351328648,0,1,1.285870397401832,
1998.0,45.0,46.779288328247844,-117.08746351328648,1,2,1.309881664722035,
1998.0,45.0,46.779288328247844,-117.08746351328648,2,3,1.3283406911636415,
1998.0,45.0,46.779288328247844,-117.08746351328648,3,4,1.410017508739884,
1998.0,45.0,46.779288328247844,-117.08746351328648,4,5,1.462352298113721,
1998.0,47.0,46.77936299993458,-117.08664599999607,0,1,1.4031569379311906,
1998.0,47.0,46.77936299993458,-117.08664599999607,1,2,1.3924365418335856,
1998.0,47.0,46.77936299993458,-117.08664599999607,2,3,1.3843473850955967,
1998.0,47.0,46.77936299993458,-117.08664599999607,3,4,1.3556450117928127,
1998.0,47.0,46.77936299993458,-117.08664599999607,4,5,1.3744747168368154,
1998.0,49.0,46.77923799992988,-117.08581000000255,0,1,1.2530429912271437,
1998.0,49.0,46.77923799992988,-117.08581000000255,1,2,1.184771632260782,
1998.0,49.0,46.77923799992988,-117.08581000000255,2,3,1.3465280200667946,
1998.0,49.0,46.77923799992988,-117.08581000000255,3,4,1.5580819306398894,
1998.0,49.0,46.77923799992988,-117.08581000000255,4,5,1.5721355600912252,
1998.0,51.0,46.77919681125739,-117.08496351312738,0,1,1.2798092947816841,
1998.0,51.0,46.77919681125739,-117.08496351312738,1,2,1.3731129198929588,
1998.0,51.0,46.77919681125739,-117.08496351312738,2,3,1.394782347862562,
1998.0,51.0,46.77919681125739,-117.08496351312738,3,4,1.4586442072309105,
1998.0,51.0,46.77919681125739,-117.08496351312738,4,5,1.471063797935051,
1998.0,53.0,46.779245999934034,-117.08413800000388,0,1,1.2064800763803905,
1998.0,53.0,46.779245999934034,-117.08413800000388,1,2,1.2406655634712913,
1998.0,53.0,46.779245999934034,-117.08413800000388,2,3,1.414831251430822,
1998.0,53.0,46.779245999934034,-117.08413800000388,3,4,1.5436953530178732,
1998.0,53.0,46.779245999934034,-117.08413800000388,4,5,1.5822252037544304,
1998.0,55.0,46.77922999993481,-117.08330200000204,0,1,1.2945453704621315,
1998.0,55.0,46.77922999993481,-117.08330200000204,1,2,1.3196842621782765,
1998.0,55.0,46.77922999993481,-117.08330200000204,2,3,1.3264134130225043,
1998.0,55.0,46.77922999993481,-117.08330200000204,3,4,1.3430206540959224,
1998.0,55.0,46.77922999993481,-117.08330200000204,4,5,1.2804356639768508,
1998.0,57.0,46.779335999935,-117.08246600000088,0,1,1.350671421086065,
1998.0,57.0,46.779335999935,-117.08246600000088,1,2,1.396253055093857,
1998.0,57.0,46.779335999935,-117.08246600000088,2,3,1.384028329514718,
1998.0,57.0,46.779335999935,-117.08246600000088,3,4,1.334780339648808,
1998.0,57.0,46.779335999935,-117.08246600000088,4,5,1.3142400162119157,
1998.0,59.0,46.779252441744326,-117.08160014682795,0,1,1.1843295151873519,
1998.0,59.0,46.779252441744326,-117.08160014682795,1,2,1.2299314452154222,
1998.0,59.0,46.779252441744326,-117.08160014682795,2,3,1.5079762995670547,
1998.0,59.0,46.779252441744326,-117.08160014682795,3,4,1.5633768287153682,
1998.0,59.0,46.779252441744326,-117.08160014682795,4,5,1.5857796431139146,
1998.0,61.0,46.77913499993167,-117.08079400000366,0,1,1.3187672423537242,
1998.0,61.0,46.77913499993167,-117.08079400000366,1,2,1.309537033466621,
1998.0,61.0,46.77913499993167,-117.08079400000366,2,3,1.5096304415902393,
1998.0,61.0,46.77913499993167,-117.08079400000366,3,4,1.6648842580623273,
1998.0,61.0,46.77913499993167,-117.08079400000366,4,5,1.691926767595489,
1998.0,63.0,46.779368999936025,-117.079957999996,0,1,1.2808267271018934,
1998.0,63.0,46.779368999936025,-117.079957999996,1,2,1.1726006805822644,
1998.0,63.0,46.779368999936025,-117.079957999996,2,3,1.2119233872442399,
1998.0,63.0,46.779368999936025,-117.079957999996,3,4,1.432888311243592,
1998.0,63.0,46.779368999936025,-117.079957999996,4,5,1.6758456319604047,
1998.0,65.0,46.77925399993134,-117.07912199999382,0,1,1.2859501907389443,
