,BottomDepth,BottomDepthFt,BottomDepthWeighted,BulkDensity,BulkDensityPerIncrement,BulkDensityWeighted,DepthIncrementBottom,DepthIncrementTop,ID2,Latitude,Longitude,Notes,TopDepth,TopDepthFt,TopDepthWeighted,Weight,Year
27,153.0,5.0196852000000005,4.0,1.455243607093288,1.4562706453032024,0.9033203494003302,4,3,9.0,46.778673999933,-117.08416999999837,,103.0,3.3792652000000003,3.3792652000000003,0.6207347999999997,1998.0
27,153.0,5.0196852000000005,5.0,1.455243607093288,1.455243607093288,1.455243607093288,5,4,9.0,46.778673999933,-117.08416999999837,,103.0,3.3792652000000003,4.0,1.0,1998.0
28,10.0,0.32808400000000004,0.32808400000000004,1.41,1.435203328833452,0.46259844000000006,1,0,11.0,46.778657999932655,-117.08333399999815,,0.0,0.0,0.0,0.32808400000000004,1998.0
29,20.0,0.6561680000000001,0.6561680000000001,1.41,1.435203328833452,0.46259844000000006,1,0,11.0,46.778657999932655,-117.08333399999815,,10.0,0.32808400000000004,0.32808400000000004,0.32808400000000004,1998.0
30,30.0,0.984252,0.984252,1.4907869746744449,1.435203328833452,0.4891033537990905,1,0,11.0,46.778657999932655,-117.08333399999815,,20.0,0.6561680000000001,0.6561680000000001,0.32808399999999993,1998.0
31,44.0,1.4435696,1.0,1.327349189380334,1.435203328833452,0.02090309503436148,1,0,11.0,46.778657999932655,-117.08333399999815,,30.0,0.984252,0.984252,0.015747999999999984,1998.0
31,44.0,1.4435696,1.4435696,1.327349189380334,1.3714032227741584,0.588771748993759,2,1,11.0,46.778657999932655,-117.08333399999815,,30.0,0.984252,1.0,0.4435696,1998.0
32,62.0,2.0341208,2.0,1.4065217748354502,1.3714032227741584,0.7826314737803994,2,1,11.0,46.778657999932655,-117.08333399999815,,44.0,1.4435696,1.4435696,0.5564304,1998.0
32,62.0,2.0341208,2.0341208,1.4065217748354502,1.4942825919097324,0.047991648174805675,3,2,11.0,46.778657999932655,-117.08333399999815,,44.0,1.4435696,2.0,0.03412080000000017,1998.0
33,93.0,3.0511812000000003,3.0,1.49738284428832,1.4942825919097324,1.4462909437349267,3,2,11.0,46.778657999932655,-117.08333399999815,,62.0,2.0341208,2.0341208,0.9658791999999998,1998.0
33,93.0,3.0511812000000003,3.0511812000000003,1.49738284428832,1.6700249615108425,0.07663785083008975,4,3,11.0,46.778657999932655,-117.08333399999815,,62.0,2.0341208,3.0,0.05118120000000026,1998.0
34,153.0,5.0196852000000005,4.0,1.679337625562176,1.6700249615108425,1.5933871106807527,4,3,11.0,46.778657999932655,-117.08333399999815,,93.0,3.0511812000000003,3.0511812000000003,0.9488187999999997,1998.0
34,153.0,5.0196852000000005,5.0,1.679337625562176,1.679337625562176,1.679337625562176,5,4,11.0,46.778657999932655,-117.08333399999815,,93.0,3.0511812000000003,4.0,1.0,1998.0
35,10.0,0.32808400000000004,0.32808400000000004,1.3500813608024498,1.3512400518022354,0.442940093177511,1,0,13.0,46.778763999934995,-117.08249800000364,,0.0,0.0,0.0,0.32808400000000004,1998.0
36,20.0,0.6561680000000001,0.6561680000000001,1.3500813608024498,1.3512400518022354,0.442940093177511,1,0,13.0,46.778763999934995,-117.08249800000364,,10.0,0.32808400000000004,0.32808400000000004,0.32808400000000004,1998.0
